#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 01 07 03 00 340  4.6  5.0 99.00 99.00 99.00 999 1016.0  20.9  24.5 999.0 99.0 99.00
2016 01 07 04 00 342  4.7  4.9 99.00 99.00 99.00 999 1015.8  20.6  24.7 999.0 99.0 99.00
2016 01 07 05 00 329  6.5  7.1 99.00 99.00 99.00 999 1016.0  20.1  25.4 999.0 99.0 99.00
2016 01 07 06 00 337  8.6  9.2 99.00 99.00 99.00 999 1015.6  19.4  25.5 999.0 99.0 99.00
2016 01 07 07 00 340  8.2  9.1 99.00 99.00 99.00 999 1015.3  19.2  25.6 999.0 99.0 99.00
2016 01 07 08 00 345  6.8  7.3 99.00 99.00 99.00 999 1014.7  18.8  25.6 999.0 99.0 99.00
2016 01 07 09 00 353  6.2  6.6 99.00 99.00 99.00 999 1014.1  18.7  25.6 999.0 99.0 99.00
2016 01 07 10 00 353  6.3  6.7 99.00 99.00 99.00 999 1014.1  19.0  25.6 999.0 99.0 99.00
2016 01 07 11 00 355  5.2  6.1 99.00 99.00 99.00 999 1014.6  19.2  25.5 999.0 99.0 99.00
2016 01 07 12 00 357  5.7  6.4 99.00 99.00 99.00 999 1015.1  18.6  25.5 999.0 99.0 99.00
2016 01 07 13 00 351  5.7  6.2 99.00 99.00 99.00 999 1015.4  17.3  25.5 999.0 99.0 99.00
2016 01 07 14 00   1  5.6  6.1 99.00 99.00 99.00 999 1016.2  17.6  25.4 999.0 99.0 99.00
2016 01 07 15 00   6  4.4  4.8 99.00 99.00 99.00 999 1016.5  18.5  25.4 999.0 99.0 99.00
2016 01 07 16 00  16  5.0  5.5 99.00 99.00 99.00 999 1016.4  19.9  25.6 999.0 99.0 99.00
2016 01 07 17 00   5  3.2  3.8 99.00 99.00 99.00 999 1016.1  20.6  25.7 999.0 99.0 99.00
2016 01 07 18 00   1  3.3  3.6 99.00 99.00 99.00 999 1014.9  21.2  25.7 999.0 99.0 99.00
2016 01 07 19 00  22  3.3  3.7 99.00 99.00 99.00 999 1014.1  21.6  25.9 999.0 99.0 99.00
2016 01 07 20 00  38  1.4  1.8 99.00 99.00 99.00 999 1013.8  22.5  25.9 999.0 99.0 99.00
2016 01 07 21 00  65  1.3  1.9 99.00 99.00 99.00 999 1013.7  22.9  26.0 999.0 99.0 99.00
2016 01 07 22 00  99  1.3  2.0 99.00 99.00 99.00 999 1013.9  23.1  25.9 999.0 99.0 99.00
2016 01 07 23 00  86  1.9  2.4 99.00 99.00 99.00 999 1014.5  22.8  25.9 999.0 99.0 99.00
2016 01 08 00 00  86  2.1  2.6 99.00 99.00 99.00 999 1014.8  23.0  25.8 999.0 99.0 99.00
2016 01 08 01 00  84  2.0  2.8 99.00 99.00 99.00 999 1015.2  23.0  25.8 999.0 99.0 99.00
2016 01 08 02 00 115  2.1  3.1 99.00 99.00 99.00 999 1015.3  23.1  25.8 999.0 99.0 99.00
2016 01 08 03 00 113  2.6  3.2 99.00 99.00 99.00 999 1015.3  23.2  25.8 999.0 99.0 99.00
2016 01 08 04 00 116  3.6  3.9 99.00 99.00 99.00 999 1015.1  23.4  25.7 999.0 99.0 99.00
2016 01 08 05 00 144  3.3  4.0 99.00 99.00 99.00 999 1014.8  23.6  25.7 999.0 99.0 99.00
2016 01 08 06 00 116  3.6  4.2 99.00 99.00 99.00 999 1014.3  23.8  25.7 999.0 99.0 99.00
2016 01 08 07 00 169  2.5  3.3 99.00 99.00 99.00 999 1013.8  23.8  25.7 999.0 99.0 99.00
2016 01 08 08 00 178  3.5  4.3 99.00 99.00 99.00 999 1013.3  24.0  25.8 999.0 99.0 99.00
2016 01 08 09 00 191  5.9 99.0 99.00 99.00 99.00 999 9999.0  24.2 999.0 999.0 99.0 99.00
2016 01 08 10 00 171  5.2  5.9 99.00 99.00 99.00 999 1013.1  24.4  25.8 999.0 99.0 99.00
2016 01 08 11 00 180  7.4  7.9 99.00 99.00 99.00 999 1012.8  24.6  25.8 999.0 99.0 99.00
2016 01 08 12 00 176  8.3  8.9 99.00 99.00 99.00 999 1012.9  24.7  25.6 999.0 99.0 99.00
2016 01 08 13 00 174  9.1  9.9 99.00 99.00 99.00 999 1013.2  24.9  25.6 999.0 99.0 99.00
2016 01 08 14 00 177  9.5 10.4 99.00 99.00 99.00 999 1013.8  25.0  25.5 999.0 99.0 99.00
2016 01 08 15 00 190  9.0 10.7 99.00 99.00 99.00 999 1014.0  25.3  24.7 999.0 99.0 99.00
2016 01 08 16 00 200  9.8 11.0 99.00 99.00 99.00 999 1013.8  25.2  25.6 999.0 99.0 99.00
2016 01 08 17 00 186  8.5  9.5 99.00 99.00 99.00 999 1013.3  25.1  25.9 999.0 99.0 99.00
2016 01 08 18 00 182 11.5 12.7 99.00 99.00 99.00 999 1012.0  25.2  25.8 999.0 99.0 99.00
2016 01 08 19 00 200 11.3 12.2 99.00 99.00 99.00 999 1011.5  25.3  25.7 999.0 99.0 99.00
2016 01 08 20 00 197 11.4 12.3 99.00 99.00 99.00 999 1010.8  24.1  25.7 999.0 99.0 99.00
2016 01 08 21 00 198  8.5  9.0 99.00 99.00 99.00 999 1011.3  24.3  25.7 999.0 99.0 99.00
2016 01 08 22 00 191  7.0  8.1 99.00 99.00 99.00 999 1011.5  25.0  25.7 999.0 99.0 99.00
2016 01 08 23 00 222  7.7  8.2 99.00 99.00 99.00 999 1011.4  25.6  25.8 999.0 99.0 99.00
2016 01 09 00 00 229  6.7  7.6 99.00 99.00 99.00 999 1011.6  25.4  25.8 999.0 99.0 99.00
2016 01 09 01 00 260  2.6  3.0 99.00 99.00 99.00 999 1012.1  24.7  25.8 999.0 99.0 99.00
2016 01 09 02 00 305  1.9  2.1 99.00 99.00 99.00 999 1012.1  24.4  25.9 999.0 99.0 99.00
2016 01 09 03 00 277  2.2 99.0 99.00 99.00 99.00 999 1012.1  24.1 999.0 999.0 99.0 99.00
2016 01 09 04 00 310  1.6  1.9 99.00 99.00 99.00 999 1012.1  23.8  25.9 999.0 99.0 99.00
2016 01 09 05 00 308  1.9  2.2 99.00 99.00 99.00 999 1012.0  23.6  25.8 999.0 99.0 99.00
2016 01 09 06 00 296  2.5  2.7 99.00 99.00 99.00 999 1012.0  23.6  25.8 999.0 99.0 99.00
2016 01 09 07 00 327  1.5  1.7 99.00 99.00 99.00 999 1011.7  23.4  25.8 999.0 99.0 99.00
2016 01 09 08 00 348  1.0  1.2 99.00 99.00 99.00 999 1011.2  23.0  25.5 999.0 99.0 99.00
2016 01 09 09 00  32  0.3  0.6 99.00 99.00 99.00 999 1011.0  23.2  25.7 999.0 99.0 99.00
2016 01 09 10 00  53  1.1  1.4 99.00 99.00 99.00 999 1011.0  23.2  25.7 999.0 99.0 99.00
2016 01 09 11 00  79  0.6  1.0 99.00 99.00 99.00 999 1011.0  23.7  25.7 999.0 99.0 99.00
2016 01 09 12 00 282  1.1  1.3 99.00 99.00 99.00 999 1011.7  24.4  25.7 999.0 99.0 99.00
2016 01 09 13 00 304  1.6  2.0 99.00 99.00 99.00 999 1012.5  24.6  25.6 999.0 99.0 99.00
2016 01 09 14 00 292  3.8  4.5 99.00 99.00 99.00 999 1013.3  24.1  25.7 999.0 99.0 99.00
2016 01 09 15 00 281  2.8  3.0 99.00 99.00 99.00 999 1013.9  24.1  24.9 999.0 99.0 99.00
2016 01 09 16 00 269  2.6  2.8 99.00 99.00 99.00 999 1013.9  24.1  24.9 999.0 99.0 99.00
2016 01 09 17 00 265  1.6  1.9 99.00 99.00 99.00 999 1013.6  24.5  25.0 999.0 99.0 99.00
2016 01 09 18 00 254  1.2  1.3 99.00 99.00 99.00 999 1012.5  24.7  25.1 999.0 99.0 99.00
2016 01 09 19 00 225  1.4  1.8 99.00 99.00 99.00 999 1011.5  25.0  25.6 999.0 99.0 99.00
2016 01 09 20 00 215  2.3  2.6 99.00 99.00 99.00 999 1011.1  25.6  26.0 999.0 99.0 99.00
2016 01 09 21 00 227  3.4  3.6 99.00 99.00 99.00 999 1011.4  25.9  25.7 999.0 99.0 99.00
2016 01 09 22 00 227  5.5  6.2 99.00 99.00 99.00 999 1011.6  26.2  25.5 999.0 99.0 99.00
2016 01 09 23 00 217  5.3  5.7 99.00 99.00 99.00 999 1011.8  26.1  25.5 999.0 99.0 99.00
2016 01 10 00 00 199  4.2  4.7 99.00 99.00 99.00 999 1012.0  26.1  25.4 999.0 99.0 99.00
2016 01 10 01 00 181  3.6 99.0 99.00 99.00 99.00 999 9999.0  26.0 999.0 999.0 99.0 99.00
2016 01 10 02 00 168  5.6 99.0 99.00 99.00 99.00 999 9999.0  26.0 999.0 999.0 99.0 99.00
2016 01 10 03 00 185  5.7  6.4 99.00 99.00 99.00 999 1013.2  26.2  25.7 999.0 99.0 99.00
2016 01 10 04 00 184  7.4  8.0 99.00 99.00 99.00 999 1013.0  26.2  25.3 999.0 99.0 99.00
2016 01 10 05 00 181  9.5  9.9 99.00 99.00 99.00 999 1012.5  26.1  25.2 999.0 99.0 99.00
2016 01 10 06 00 225  9.2 10.0 99.00 99.00 99.00 999 1012.4  24.3  25.4 999.0 99.0 99.00
2016 01 10 08 00 230  7.9  8.8 99.00 99.00 99.00 999 1011.9  26.3  25.7 999.0 99.0 99.00
2016 01 10 09 00 236  8.5 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 10 10 00 239  8.0  8.6 99.00 99.00 99.00 999 1012.0  26.1  25.7 999.0 99.0 99.00
2016 01 10 11 00 227  7.5 99.0 99.00 99.00 99.00 999 1012.4  25.9 999.0 999.0 99.0 99.00
2016 01 10 12 00 259  4.8  5.5 99.00 99.00 99.00 999 1013.3  25.2  25.7 999.0 99.0 99.00
2016 01 10 13 00 264  3.7  4.5 99.00 99.00 99.00 999 1014.1  25.0  25.7 999.0 99.0 99.00
2016 01 10 14 00 273  2.8  4.2 99.00 99.00 99.00 999 1015.0  25.2  25.7 999.0 99.0 99.00
2016 01 10 15 00 238  7.8  8.4 99.00 99.00 99.00 999 1015.4  26.2  25.8 999.0 99.0 99.00
2016 01 10 16 00 238  9.2 10.1 99.00 99.00 99.00 999 1015.5  26.3  25.8 999.0 99.0 99.00
2016 01 10 17 00 248  7.9  9.2 99.00 99.00 99.00 999 1015.2  25.8  25.9 999.0 99.0 99.00
2016 01 10 18 00 250  8.1  9.1 99.00 99.00 99.00 999 1014.1  25.7  25.8 999.0 99.0 99.00
