#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 07 06 00  38  6.6  7.0 99.00 99.00 99.00 999 1021.3  19.2 999.0 999.0 99.0 99.00
2012 01 07 07 00  33  6.9  7.7 99.00 99.00 99.00 999 1020.9  19.2 999.0 999.0 99.0 99.00
2012 01 07 08 00  44  7.4  7.9 99.00 99.00 99.00 999 1020.2  18.9 999.0 999.0 99.0 99.00
2012 01 07 09 00  44  7.2  7.7 99.00 99.00 99.00 999 1020.1  19.0 999.0 999.0 99.0 99.00
2012 01 07 10 00  46  7.2  7.7 99.00 99.00 99.00 999 1020.1  18.9 999.0 999.0 99.0 99.00
2012 01 07 11 00  51  6.7  7.3 99.00 99.00 99.00 999 1020.1  19.0 999.0 999.0 99.0 99.00
2012 01 07 12 00  57  6.7  7.3 99.00 99.00 99.00 999 1020.7  19.0 999.0 999.0 99.0 99.00
2012 01 07 13 00  57  6.6  7.2 99.00 99.00 99.00 999 1021.4  19.2 999.0 999.0 99.0 99.00
2012 01 07 14 00  57  6.6  7.0 99.00 99.00 99.00 999 1022.0  19.5 999.0 999.0 99.0 99.00
2012 01 07 15 00  64  6.3  6.6 99.00 99.00 99.00 999 1022.7  20.1 999.0 999.0 99.0 99.00
2012 01 07 16 00  62  5.0  5.4 99.00 99.00 99.00 999 1022.6  20.7 999.0 999.0 99.0 99.00
2012 01 07 17 00  58  5.5  6.3 99.00 99.00 99.00 999 1021.9  20.9 999.0 999.0 99.0 99.00
2012 01 07 18 00  57  5.5  6.1 99.00 99.00 99.00 999 1021.1  21.1 999.0 999.0 99.0 99.00
2012 01 07 19 00  61  4.5  5.0 99.00 99.00 99.00 999 1020.5  21.6 999.0 999.0 99.0 99.00
2012 01 07 20 00  74  5.7  6.2 99.00 99.00 99.00 999 1020.1  22.1 999.0 999.0 99.0 99.00
2012 01 07 21 00  70  4.7  5.3 99.00 99.00 99.00 999 1020.2  21.8 999.0 999.0 99.0 99.00
2012 01 07 22 00  63  5.7  6.2 99.00 99.00 99.00 999 1020.3  21.8 999.0 999.0 99.0 99.00
2012 01 07 23 00  63  6.8  7.2 99.00 99.00 99.00 999 1020.4  21.4 999.0 999.0 99.0 99.00
2012 01 08 00 00  55  6.7  7.4 99.00 99.00 99.00 999 1020.7  21.6 999.0 999.0 99.0 99.00
2012 01 08 01 00  51  7.5  8.0 99.00 99.00 99.00 999 1021.1  21.3 999.0 999.0 99.0 99.00
2012 01 08 02 00  53  7.4  8.2 99.00 99.00 99.00 999 1021.3  21.1 999.0 999.0 99.0 99.00
2012 01 08 03 00  59  7.6  8.1 99.00 99.00 99.00 999 1021.6  21.3 999.0 999.0 99.0 99.00
2012 01 08 04 00  56  7.7  8.2 99.00 99.00 99.00 999 1021.6  21.4 999.0 999.0 99.0 99.00
2012 01 08 05 00  57  7.6  8.2 99.00 99.00 99.00 999 1021.5  21.5 999.0 999.0 99.0 99.00
2012 01 08 06 00  58  8.3  9.1 99.00 99.00 99.00 999 1021.2  21.1 999.0 999.0 99.0 99.00
2012 01 08 07 00  53  8.8  9.6 99.00 99.00 99.00 999 1021.1  20.7 999.0 999.0 99.0 99.00
2012 01 08 08 00  47  8.5  9.6 99.00 99.00 99.00 999 1020.8  20.2 999.0 999.0 99.0 99.00
2012 01 08 09 00  45  8.0  8.7 99.00 99.00 99.00 999 1020.9  20.0 999.0 999.0 99.0 99.00
2012 01 08 10 00  50  8.1  8.4 99.00 99.00 99.00 999 1021.0  20.1 999.0 999.0 99.0 99.00
2012 01 08 11 00  58  8.9  9.7 99.00 99.00 99.00 999 1021.2  20.5 999.0 999.0 99.0 99.00
2012 01 08 12 00  59  8.9 10.1 99.00 99.00 99.00 999 1021.7  20.4 999.0 999.0 99.0 99.00
2012 01 08 13 00  59  8.8  9.5 99.00 99.00 99.00 999 1022.4  20.4 999.0 999.0 99.0 99.00
2012 01 08 14 00  61  8.8  9.7 99.00 99.00 99.00 999 1023.1  20.7 999.0 999.0 99.0 99.00
2012 01 08 15 00  61 10.3 10.8 99.00 99.00 99.00 999 1023.4  20.9 999.0 999.0 99.0 99.00
2012 01 08 16 00  69  9.1  9.9 99.00 99.00 99.00 999 1023.6  21.4 999.0 999.0 99.0 99.00
2012 01 08 17 00  73  8.4  9.2 99.00 99.00 99.00 999 1022.8  21.7 999.0 999.0 99.0 99.00
2012 01 08 18 00  73  9.5 10.3 99.00 99.00 99.00 999 1021.8  21.8 999.0 999.0 99.0 99.00
2012 01 08 19 00  75 10.1 10.6 99.00 99.00 99.00 999 1021.2  22.0 999.0 999.0 99.0 99.00
2012 01 08 20 00  74  9.7 10.2 99.00 99.00 99.00 999 1020.8  22.3 999.0 999.0 99.0 99.00
2012 01 08 21 00  69  9.6 10.3 99.00 99.00 99.00 999 1020.8  22.4 999.0 999.0 99.0 99.00
2012 01 08 22 00  64  9.6 10.1 99.00 99.00 99.00 999 1021.0  22.2 999.0 999.0 99.0 99.00
2012 01 08 23 00  66  7.7  8.2 99.00 99.00 99.00 999 1021.4  22.0 999.0 999.0 99.0 99.00
2012 01 09 00 00  63  7.1  8.5 99.00 99.00 99.00 999 1021.6  22.1 999.0 999.0 99.0 99.00
2012 01 09 01 00  54  6.9  7.7 99.00 99.00 99.00 999 1022.0  21.6 999.0 999.0 99.0 99.00
2012 01 09 02 00  56  8.6  9.4 99.00 99.00 99.00 999 1022.1  21.4 999.0 999.0 99.0 99.00
2012 01 09 03 00  60  8.8  9.9 99.00 99.00 99.00 999 1022.3  21.4 999.0 999.0 99.0 99.00
2012 01 09 04 00  62  8.6  9.2 99.00 99.00 99.00 999 1022.0  21.2 999.0 999.0 99.0 99.00
2012 01 09 05 00  62  9.6 10.3 99.00 99.00 99.00 999 1021.2  21.1 999.0 999.0 99.0 99.00
2012 01 09 06 00  60  9.3  9.9 99.00 99.00 99.00 999 1020.6  20.9 999.0 999.0 99.0 99.00
2012 01 09 07 00  61  9.6 10.2 99.00 99.00 99.00 999 1019.9  21.1 999.0 999.0 99.0 99.00
2012 01 09 08 00  56  8.3  8.8 99.00 99.00 99.00 999 1019.5  20.9 999.0 999.0 99.0 99.00
2012 01 09 09 00  60  7.6  8.0 99.00 99.00 99.00 999 1019.3  21.1 999.0 999.0 99.0 99.00
2012 01 09 10 00 116 11.1 12.0 99.00 99.00 99.00 999 1019.4  23.3 999.0 999.0 99.0 99.00
2012 01 09 11 00 123 12.4 13.1 99.00 99.00 99.00 999 1019.9  23.3 999.0 999.0 99.0 99.00
2012 01 09 12 00 121 10.4 11.2 99.00 99.00 99.00 999 1020.5  23.4 999.0 999.0 99.0 99.00
2012 01 09 13 00 113 10.5 11.3 99.00 99.00 99.00 999 1020.7  23.5 999.0 999.0 99.0 99.00
2012 01 09 14 00 115  9.3 10.3 99.00 99.00 99.00 999 1021.2  23.8 999.0 999.0 99.0 99.00
2012 01 09 15 00 108 10.0 11.0 99.00 99.00 99.00 999 1021.9  23.8 999.0 999.0 99.0 99.00
2012 01 09 16 00 107  9.4 10.6 99.00 99.00 99.00 999 1021.7  24.0 999.0 999.0 99.0 99.00
2012 01 09 17 00 116 10.9 11.7 99.00 99.00 99.00 999 1020.9  23.9 999.0 999.0 99.0 99.00
2012 01 09 18 00 118 10.6 11.2 99.00 99.00 99.00 999 1019.7  23.9 999.0 999.0 99.0 99.00
2012 01 09 19 00 122  9.6 10.2 99.00 99.00 99.00 999 1019.2  23.7 999.0 999.0 99.0 99.00
2012 01 09 20 00 120 10.8 11.8 99.00 99.00 99.00 999 1018.8  23.5 999.0 999.0 99.0 99.00
2012 01 09 21 00 111 10.4 11.2 99.00 99.00 99.00 999 1018.6  23.7 999.0 999.0 99.0 99.00
2012 01 09 22 00 117 10.6 11.6 99.00 99.00 99.00 999 1018.9  23.6 999.0 999.0 99.0 99.00
2012 01 09 23 00 115  9.9 11.2 99.00 99.00 99.00 999 1019.3  23.5 999.0 999.0 99.0 99.00
