YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 06 06  99  8.5  9.5 99.00 99.00 99.00 999 1017.0  24.2  23.6 999.0 99.0
98 01 06 07 117  6.3  7.3 99.00 99.00 99.00 999 1016.4  24.4  23.5 999.0 99.0
98 01 06 08 115  7.3  8.1 99.00 99.00 99.00 999 1016.0  24.5  23.6 999.0 99.0
98 01 06 09 130  8.4  9.4 99.00 99.00 99.00 999 1016.0  24.7  23.6 999.0 99.0
98 01 06 10 127  8.4  9.4 99.00 99.00 99.00 999 1016.0  24.8  23.7 999.0 99.0
98 01 06 11 124  9.5 10.6 99.00 99.00 99.00 999 1016.6  25.0  23.7 999.0 99.0
98 01 06 12 123 10.3 11.8 99.00 99.00 99.00 999 1016.9  25.0  23.8 999.0 99.0
98 01 06 13 122  8.3  9.2 99.00 99.00 99.00 999 1017.1  24.9  23.9 999.0 99.0
98 01 06 14 134  7.2  8.3 99.00 99.00 99.00 999 1017.3  25.1  23.9 999.0 99.0
98 01 06 15 140  7.4  8.2 99.00 99.00 99.00 999 1018.0  25.0  23.8 999.0 99.0
98 01 06 16 134  7.4  8.3 99.00 99.00 99.00 999 1017.8  25.2  23.9 999.0 99.0
98 01 06 17 136  7.4  7.9 99.00 99.00 99.00 999 1017.3  25.1  23.9 999.0 99.0
98 01 06 18 124  8.5  9.5 99.00 99.00 99.00 999 1016.4  24.9  23.9 999.0 99.0
98 01 06 19 130  9.1 11.2 99.00 99.00 99.00 999 1015.6  25.0  24.0 999.0 99.0
98 01 06 20 129 10.7 11.4 99.00 99.00 99.00 999 1015.3  25.0  23.9 999.0 99.0
98 01 06 21 133 10.7 12.5 99.00 99.00 99.00 999 1014.8  25.2  23.9 999.0 99.0
98 01 06 22 134 10.8 12.4 99.00 99.00 99.00 999 1014.6  25.4  23.9 999.0 99.0
98 01 06 23 132 10.8 11.9 99.00 99.00 99.00 999 1014.8  25.4  23.9 999.0 99.0
98 01 07 00 129 10.5 12.0 99.00 99.00 99.00 999 1015.0  25.4  23.9 999.0 99.0
98 01 07 01 127 10.3 11.6 99.00 99.00 99.00 999 1015.0  25.2  23.9 999.0 99.0
98 01 07 02 129 10.1 11.8 99.00 99.00 99.00 999 1015.1  25.2  23.8 999.0 99.0
98 01 07 03 127 10.4 11.6 99.00 99.00 99.00 999 1015.3  25.2  23.8 999.0 99.0
98 01 07 04 128  9.6 10.6 99.00 99.00 99.00 999 1015.3  24.9  23.7 999.0 99.0
98 01 07 05 135 11.1 12.7 99.00 99.00 99.00 999 1014.8  24.8  23.7 999.0 99.0
98 01 07 06 136 10.9 12.4 99.00 99.00 99.00 999 1014.6  24.8  23.6 999.0 99.0
98 01 07 07 139 10.2 11.8 99.00 99.00 99.00 999 1014.2  24.7  23.6 999.0 99.0
98 01 07 08 140  9.7 10.7 99.00 99.00 99.00 999 1013.8  24.7  23.6 999.0 99.0
98 01 07 09 144 11.1 12.1 99.00 99.00 99.00 999 1013.4  24.8  23.7 999.0 99.0
98 01 07 10 138 11.1 12.5 99.00 99.00 99.00 999 1012.9  24.6  23.7 999.0 99.0
98 01 07 11 135 11.3 12.4 99.00 99.00 99.00 999 1012.9  24.7  23.7 999.0 99.0
98 01 07 12 140 10.8 12.4 99.00 99.00 99.00 999 1013.4  24.8  23.7 999.0 99.0
98 01 07 13 137 10.8 11.8 99.00 99.00 99.00 999 1013.8  24.9  23.7 999.0 99.0
98 01 07 14 148 11.7 13.0 99.00 99.00 99.00 999 1014.6  25.0  23.7 999.0 99.0
98 01 07 15 144 11.5 12.9 99.00 99.00 99.00 999 1014.9  25.1  23.8 999.0 99.0
98 01 07 16 149  9.9 11.0 99.00 99.00 99.00 999 1014.8  25.2  23.8 999.0 99.0
98 01 07 17 151 11.2 12.6 99.00 99.00 99.00 999 1013.8  25.2  23.9 999.0 99.0
98 01 07 18 157 10.6 11.8 99.00 99.00 99.00 999 1013.0  25.2  24.0 999.0 99.0
98 01 07 19 150 10.3 11.6 99.00 99.00 99.00 999 1012.1  25.2  24.0 999.0 99.0
98 01 07 20 149 10.0 11.7 99.00 99.00 99.00 999 1011.6  25.2  24.0 999.0 99.0
98 01 07 21 149  9.8 10.8 99.00 99.00 99.00 999 1011.6  25.2  24.0 999.0 99.0
98 01 07 22 150  8.1  9.7 99.00 99.00 99.00 999 1011.7  25.1  24.0 999.0 99.0
98 01 07 23 150  9.8 10.9 99.00 99.00 99.00 999 1011.8  25.1  23.9 999.0 99.0
98 01 08 00 144  9.7 10.7 99.00 99.00 99.00 999 1011.8  25.1  23.9 999.0 99.0
98 01 08 01 146 10.3 10.8 99.00 99.00 99.00 999 1012.3  25.0  23.9 999.0 99.0
98 01 08 02 151  9.7 10.5 99.00 99.00 99.00 999 1012.7  25.0  23.9 999.0 99.0
98 01 08 03 152 10.1 11.2 99.00 99.00 99.00 999 1012.7  25.1  23.9 999.0 99.0
98 01 08 04 160 11.1 12.0 99.00 99.00 99.00 999 1012.6  25.2  23.9 999.0 99.0
98 01 08 05 163 10.1 11.2 99.00 99.00 99.00 999 1012.3  25.2  23.9 999.0 99.0
98 01 08 06 167  9.6 10.5 99.00 99.00 99.00 999 1011.9  25.1  23.9 999.0 99.0
98 01 08 07 171  8.5  9.5 99.00 99.00 99.00 999 1011.9  25.1  23.9 999.0 99.0
98 01 08 08 169  7.6  8.4 99.00 99.00 99.00 999 1011.7  25.2  23.9 999.0 99.0
98 01 08 09 171  6.7  7.4 99.00 99.00 99.00 999 1011.6  25.1  23.9 999.0 99.0
98 01 08 10 178  7.2  7.9 99.00 99.00 99.00 999 1011.8  25.2  23.9 999.0 99.0
98 01 08 11 167  7.5  8.4 99.00 99.00 99.00 999 1011.9  25.3  23.9 999.0 99.0
98 01 08 12 181  7.5  9.4 99.00 99.00 99.00 999 1012.5  25.1  23.9 999.0 99.0
98 01 08 13 177  8.9  9.6 99.00 99.00 99.00 999 1012.9  25.2  23.9 999.0 99.0
98 01 08 14 179  9.6 10.4 99.00 99.00 99.00 999 1013.5  25.3  23.9 999.0 99.0
98 01 08 15 181  8.9  9.9 99.00 99.00 99.00 999 1013.8  25.3  23.9 999.0 99.0
98 01 08 16 177 10.0 10.8 99.00 99.00 99.00 999 1013.2  25.3  24.0 999.0 99.0
98 01 08 17 172  9.6 10.3 99.00 99.00 99.00 999 1012.2  25.3  24.1 999.0 99.0
98 01 08 18 173  9.2 10.1 99.00 99.00 99.00 999 1011.2  25.4  24.2 999.0 99.0
98 01 08 19 191  8.0  9.1 99.00 99.00 99.00 999 1011.1  25.4  24.4 999.0 99.0
98 01 08 20 191  7.8  8.5 99.00 99.00 99.00 999 1011.0  25.4  24.5 999.0 99.0
98 01 08 21 183  6.8  7.6 99.00 99.00 99.00 999 1011.0  25.4  24.3 999.0 99.0
98 01 08 22 182  6.2  6.8 99.00 99.00 99.00 999 1011.3  25.2  24.3 999.0 99.0
98 01 08 23 161  5.3  5.8 99.00 99.00 99.00 999 1011.5  25.1  24.2 999.0 99.0
98 01 09 00 157  5.9  6.9 99.00 99.00 99.00 999 1011.4  25.2  24.2 999.0 99.0
98 01 09 01 171  5.6  6.1 99.00 99.00 99.00 999 1011.6  25.3  24.1 999.0 99.0
98 01 09 02 218  8.4  9.0 99.00 99.00 99.00 999 1012.7  23.0  24.1 999.0 99.0
98 01 09 03 234  4.4  4.6 99.00 99.00 99.00 999 1013.3  24.2  24.2 999.0 99.0
98 01 09 04 257  3.7  4.5 99.00 99.00 99.00 999 1013.8  24.7  24.2 999.0 99.0
98 01 09 05 252  2.0  2.1 99.00 99.00 99.00 999 1014.0  24.5  24.1 999.0 99.0
98 01 09 06 243  3.2  3.6 99.00 99.00 99.00 999 1013.4  24.1  23.9 999.0 99.0
98 01 09 07 238  3.8  4.1 99.00 99.00 99.00 999 1013.8  23.9  23.8 999.0 99.0
98 01 09 08 231  3.8  4.0 99.00 99.00 99.00 999 1013.7  23.8  23.8 999.0 99.0
98 01 09 09 243  3.3  3.6 99.00 99.00 99.00 999 1013.7  23.7  23.8 999.0 99.0
98 01 09 10 244  2.8  3.1 99.00 99.00 99.00 999 1014.1  23.6  23.8 999.0 99.0
98 01 09 11 272  1.8  1.9 99.00 99.00 99.00 999 1014.4  23.5  23.8 999.0 99.0
98 01 09 12 347   .4   .8 99.00 99.00 99.00 999 1014.7  23.5  23.8 999.0 99.0
98 01 09 13 324  3.4  3.6 99.00 99.00 99.00 999 1015.5  23.2  23.8 999.0 99.0
98 01 09 14  12  2.3  2.5 99.00 99.00 99.00 999 1016.2  23.1  23.8 999.0 99.0
98 01 09 15  44  1.1  1.1 99.00 99.00 99.00 999 1016.9  23.2  23.9 999.0 99.0
98 01 09 16  12  3.0  3.2 99.00 99.00 99.00 999 1016.8  23.0  24.0 999.0 99.0
98 01 09 17  30  2.8  3.0 99.00 99.00 99.00 999 1016.6  23.1  24.1 999.0 99.0
98 01 09 18  48  2.9  3.3 99.00 99.00 99.00 999 1015.8  23.3  24.2 999.0 99.0
98 01 09 19  51  3.2  3.4 99.00 99.00 99.00 999 1015.1  23.4  24.3 999.0 99.0
98 01 09 20  92  2.8  3.1 99.00 99.00 99.00 999 1015.3  23.6  24.4 999.0 99.0
98 01 09 21  74  4.5  4.8 99.00 99.00 99.00 999 1015.8  23.9  24.4 999.0 99.0
98 01 09 22  69  4.1  4.7 99.00 99.00 99.00 999 1015.9  24.1  24.3 999.0 99.0
98 01 09 23  86  3.0  3.4 99.00 99.00 99.00 999 1016.1  24.2  24.3 999.0 99.0
98 01 10 00  65  3.1  3.3 99.00 99.00 99.00 999 1016.5  24.2  24.4 999.0 99.0
98 01 10 01  43  2.8  3.0 99.00 99.00 99.00 999 1016.9  24.3  24.3 999.0 99.0
98 01 10 02 111  1.2  1.3 99.00 99.00 99.00 999 1017.4  24.1  24.3 999.0 99.0
98 01 10 03 357   .5   .8 99.00 99.00 99.00 999 1017.7  23.9  24.3 999.0 99.0
98 01 10 04 303   .7   .8 99.00 99.00 99.00 999 1017.7  23.8  24.2 999.0 99.0
98 01 10 05  42  5.3  5.8 99.00 99.00 99.00 999 1017.3  23.8  24.1 999.0 99.0
98 01 10 06  34  5.7  6.1 99.00 99.00 99.00 999 1017.3  23.7  24.0 999.0 99.0
