#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 11 05 00 120  7.7  8.8    MM    MM    MM  MM 1018.2  28.3  29.1  25.7   MM +0.0    MM
2017 06 11 04 00 130  6.7  8.2    MM    MM    MM  MM 1018.6  28.4  29.1  26.0   MM +1.3    MM
2017 06 11 03 00 130  5.7  6.2    MM    MM    MM  MM 1018.4  28.4  29.2  25.2   MM +1.5    MM
2017 06 11 02 00 150  4.1  5.1    MM    MM    MM  MM 1018.3  28.6  29.2  24.5   MM +1.2    MM
2017 06 11 01 00 140  2.6  3.6    MM    MM    MM  MM 1017.3  28.8  29.2  24.3   MM +1.0    MM
2017 06 11 00 00 110  3.1  4.1    MM    MM    MM  MM 1016.9  28.5  29.3  24.9   MM +0.7    MM
2017 06 10 23 00 110  4.1  4.6    MM    MM    MM  MM 1017.1  28.5  29.4  25.2   MM +0.5    MM
2017 06 10 22 00 160  1.0  1.5    MM    MM    MM  MM 1016.3  28.8  29.4  25.1   MM -0.7    MM
2017 06 10 21 00  80  2.1  2.6    MM    MM    MM  MM 1016.2  28.5  29.4  25.1   MM -0.9    MM
2017 06 10 20 00  60  1.0  1.5    MM    MM    MM  MM 1016.6  28.9  29.3  25.0   MM -0.6    MM
2017 06 10 19 00 150  1.0  1.0    MM    MM    MM  MM 1017.0  29.6  29.0  26.4   MM -0.3    MM
2017 06 10 18 00 200  3.1  3.6    MM    MM    MM  MM 1017.1  28.7  28.7  25.6   MM +0.0    MM
2017 06 10 17 00 200  4.6  5.1    MM    MM    MM  MM 1017.2  28.4  28.5  25.6   MM +0.6    MM
2017 06 10 16 00 190  4.6  5.1    MM    MM    MM  MM 1017.3  28.5  28.4  26.2   MM +1.3    MM
2017 06 10 15 00 180  6.2  7.2    MM    MM    MM  MM 1017.0  28.6  28.3  26.1   MM +1.3    MM
