#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 17 00 00  60  6.7  7.7    MM    MM    MM  MM 1021.7  24.0  25.2    MM   MM +1.0    MM
2017 12 16 23 00  80  6.7  7.7    MM    MM    MM  MM 1021.3  24.1  25.2    MM   MM +0.7    MM
2017 12 16 22 00  80  6.7  7.7    MM    MM    MM  MM 1021.0  24.2  25.2    MM   MM -0.0    MM
2017 12 16 21 00  80  6.2  6.7    MM    MM    MM  MM 1020.7  24.3  25.2    MM   MM -0.5    MM
2017 12 16 20 00  80  6.7  7.2    MM    MM    MM  MM 1020.6  24.3  25.2    MM   MM -1.5    MM
2017 12 16 19 00  30  6.2  7.2    MM    MM    MM  MM 1020.9  22.7  25.1    MM   MM -1.9    MM
2017 12 16 18 00  40  6.7  7.2    MM    MM    MM  MM 1021.2  22.6  25.1    MM   MM -1.9    MM
2017 12 16 17 00  40  6.2  6.7    MM    MM    MM  MM 1022.1  22.3  25.0    MM   MM -0.7    MM
2017 12 16 16 00  40  6.2  7.2    MM    MM    MM  MM 1022.8  22.1  25.0    MM   MM +0.7    MM
2017 12 16 15 00  30  6.7  7.7    MM    MM    MM  MM 1023.1  21.6  25.0    MM   MM +1.6    MM
2017 12 16 14 00  20  6.7  7.7    MM    MM    MM  MM 1022.8  21.2  25.1    MM   MM +1.8    MM
2017 12 16 13 00  30  8.8  9.3    MM    MM    MM  MM 1022.1  19.9  25.1    MM   MM +1.1    MM
2017 12 16 12 00  30  5.7  5.7    MM    MM    MM  MM 1021.5  21.3  25.2    MM   MM +0.5    MM
2017 12 16 11 00  60  4.1  4.6    MM    MM    MM  MM 1021.0  21.5  25.2    MM   MM +0.0    MM
2017 12 16 10 00  20  5.7  6.2    MM    MM    MM  MM 1021.0  21.1  25.2    MM   MM -0.5    MM
2017 12 16 09 00  20  5.1  5.7    MM    MM    MM  MM 1021.0  20.9  25.2    MM   MM -0.4    MM
2017 12 16 08 00  10  5.1  5.7    MM    MM    MM  MM 1021.2  20.9  25.3    MM   MM -0.3    MM
