#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 12 14 12 50  MM   MM   MM    MM    MM    MM  MM 1018.9  17.8    MM  10.0   MM +1.0    MM
2017 12 14 11 50  MM   MM   MM    MM    MM    MM  MM 1018.5  17.4    MM  10.2   MM +0.6    MM
2017 12 14 10 50  MM   MM   MM    MM    MM    MM  MM 1018.3  17.3    MM  10.0   MM -0.0    MM
2017 12 14 09 50  MM   MM   MM    MM    MM    MM  MM 1017.9  17.3    MM   9.9   MM -0.5    MM
2017 12 14 08 50  MM   MM   MM    MM    MM    MM  MM 1017.9  17.3    MM   9.6   MM -0.7    MM
2017 12 14 07 50  MM   MM   MM    MM    MM    MM  MM 1018.1  17.2    MM   9.5   MM -0.8    MM
2017 12 14 06 50  MM   MM   MM    MM    MM    MM  MM 1018.4  17.3    MM   9.7   MM -1.4    MM
2017 12 14 05 50  MM   MM   MM    MM    MM    MM  MM 1018.6  17.2    MM   9.6   MM -1.6    MM
2017 12 14 04 50  MM   MM   MM    MM    MM    MM  MM 1018.9  17.3    MM  10.0   MM -1.4    MM
2017 12 14 03 50  MM   MM   MM    MM    MM    MM  MM 1019.8  17.5    MM  10.1   MM -0.4    MM
2017 12 14 02 50  MM   MM   MM    MM    MM    MM  MM 1020.2  17.5    MM   9.7   MM +0.7    MM
2017 12 14 01 50  MM   MM   MM    MM    MM    MM  MM 1020.3  17.6    MM  10.2   MM +1.1    MM
2017 12 14 00 50  MM   MM   MM    MM    MM    MM  MM 1020.2  17.5    MM  10.0   MM +1.5    MM
2017 12 13 23 50  MM   MM   MM    MM    MM    MM  MM 1019.5  17.4    MM  10.6   MM +1.0    MM
2017 12 13 22 50  MM   MM   MM    MM    MM    MM  MM 1019.2  17.4    MM  10.7   MM +0.8    MM
2017 12 13 21 50  MM   MM   MM    MM    MM    MM  MM 1018.7  17.8    MM  11.0   MM +0.0    MM
2017 12 13 20 50  MM   MM   MM    MM    MM    MM  MM 1018.5  17.7    MM  10.9   MM -0.7    MM
2017 12 13 19 50  MM   MM   MM    MM    MM    MM  MM 1018.4  17.5    MM  11.0   MM -1.8    MM
2017 12 13 18 50  MM   MM   MM    MM    MM    MM  MM 1018.6  17.3    MM  10.8   MM -2.2    MM
2017 12 13 17 50  MM   MM   MM    MM    MM    MM  MM 1019.2  17.2    MM  11.0   MM -1.7    MM
2017 12 13 16 50  MM   MM   MM    MM    MM    MM  MM 1020.2  17.1    MM  11.0   MM +0.0    MM
2017 12 13 15 50  MM   MM   MM    MM    MM    MM  MM 1020.8  17.4    MM  11.4   MM +1.5    MM
2017 12 13 14 50  MM   MM   MM    MM    MM    MM  MM 1020.9  17.3    MM  11.2   MM +2.5    MM
2017 12 13 13 50  MM   MM   MM    MM    MM    MM  MM 1020.2  17.8    MM  12.3   MM +2.7    MM
2017 12 13 12 50  MM   MM   MM    MM    MM    MM  MM 1019.3  18.8    MM  13.2   MM +2.5    MM
2017 12 13 11 50  MM   MM   MM    MM    MM    MM  MM 1018.4  20.4    MM  11.2   MM +2.1    MM
2017 12 13 10 50  MM   MM   MM    MM    MM    MM  MM 1017.5  20.7    MM  12.6   MM +1.2    MM
2017 12 13 09 50  MM   MM   MM    MM    MM    MM  MM 1016.8  21.1    MM  13.0   MM +0.5    MM
2017 12 13 08 50  MM   MM   MM    MM    MM    MM  MM 1016.3  21.8    MM  13.1   MM -0.4    MM
2017 12 13 07 50  MM   MM   MM    MM    MM    MM  MM 1016.3  22.3    MM  13.1   MM -0.8    MM
2017 12 13 06 50  MM   MM   MM    MM    MM    MM  MM 1016.3  22.1    MM  14.5   MM -1.1    MM
2017 12 13 05 50  MM   MM   MM    MM    MM    MM  MM 1016.7  22.1    MM  14.1   MM -0.8    MM
2017 12 13 04 50  MM   MM   MM    MM    MM    MM  MM 1017.1  22.1    MM  13.4   MM +0.0    MM
2017 12 13 03 50  MM   MM   MM    MM    MM    MM  MM 1017.4  22.0    MM  13.2   MM +0.4    MM
2017 12 13 02 50  MM   MM   MM    MM    MM    MM  MM 1017.5  22.0    MM  12.9   MM +0.5    MM
2017 12 13 01 50  MM   MM   MM    MM    MM    MM  MM 1017.3  22.0    MM  14.4   MM -0.0    MM
2017 12 13 00 50  MM   MM   MM    MM    MM    MM  MM 1017.0  22.1    MM  14.6   MM +0.0    MM
2017 12 12 23 50  MM   MM   MM    MM    MM    MM  MM 1017.0  22.2    MM  13.9   MM +0.3    MM
2017 12 12 22 50  MM   MM   MM    MM    MM    MM  MM 1017.1  22.0    MM  13.9   MM -0.0    MM
2017 12 12 21 50  MM   MM   MM    MM    MM    MM  MM 1017.0  21.8    MM  12.9   MM -0.5    MM
2017 12 12 20 50  MM   MM   MM    MM    MM    MM  MM 1016.7  21.6    MM  12.4   MM -1.5    MM
2017 12 12 19 50  MM   MM   MM    MM    MM    MM  MM 1017.1  21.4    MM  11.5   MM -2.3    MM
2017 12 12 18 50  MM   MM   MM    MM    MM    MM  MM 1017.5  20.6    MM  12.8   MM -3.0    MM
2017 12 12 17 50  MM   MM   MM    MM    MM    MM  MM 1018.2  20.3    MM  12.0   MM -2.5    MM
2017 12 12 16 50  MM   MM   MM    MM    MM    MM  MM 1019.4  20.0    MM  11.2   MM -1.4    MM
2017 12 12 15 50  MM   MM   MM    MM    MM    MM  MM 1020.5  19.8    MM  10.5   MM +0.0    MM
2017 12 12 14 50  MM   MM   MM    MM    MM    MM  MM 1020.7  19.5    MM  10.7   MM +0.3    MM
2017 12 12 13 50  MM   MM   MM    MM    MM    MM  MM 1020.8  19.2    MM  10.5   MM   MM    MM
2017 12 12 12 50  MM   MM   MM    MM    MM    MM  MM 1020.5  18.7    MM  11.1   MM +0.8    MM
2017 12 12 11 50  MM   MM   MM    MM    MM    MM  MM 1020.4  18.4    MM  10.6   MM +0.6    MM
2017 12 12 09 50  MM   MM   MM    MM    MM    MM  MM 1019.7  18.1    MM  10.3   MM -1.2    MM
