#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 09 00 00  76 10.0 10.7 99.00 99.00 99.00 999 1023.0  21.9 999.0  13.2 99.0 99.00
2015 01 09 01 00  76  9.3 10.2 99.00 99.00 99.00 999 1023.2  21.9 999.0  12.3 99.0 99.00
2015 01 09 02 00  78  8.1  8.6 99.00 99.00 99.00 999 1023.3  22.0 999.0  11.4 99.0 99.00
2015 01 09 03 00  76  8.7 10.1 99.00 99.00 99.00 999 1023.0  22.1 999.0  12.5 99.0 99.00
2015 01 09 04 00  94  8.5  9.9 99.00 99.00 99.00 999 1022.8  22.2 999.0  11.8 99.0 99.00
2015 01 09 05 00  87  7.4  8.2 99.00 99.00 99.00 999 1022.5  22.3 999.0  13.0 99.0 99.00
2015 01 09 06 00  95  7.3  7.9 99.00 99.00 99.00 999 1022.2  22.3 999.0  12.1 99.0 99.00
2015 01 09 07 00  96  6.0  6.6 99.00 99.00 99.00 999 1022.3  22.4 999.0  12.4 99.0 99.00
2015 01 09 08 00 102  7.2  8.0 99.00 99.00 99.00 999 1021.7  22.4 999.0  11.9 99.0 99.00
2015 01 09 09 00  97  7.1  8.0 99.00 99.00 99.00 999 1021.4  22.5 999.0  12.3 99.0 99.00
2015 01 09 10 00 108  7.4  7.9 99.00 99.00 99.00 999 1021.4  22.6 999.0  13.5 99.0 99.00
2015 01 09 11 00  98  6.1  6.8 99.00 99.00 99.00 999 1021.9  22.6 999.0  14.3 99.0 99.00
2015 01 09 12 00 112  5.9  6.3 99.00 99.00 99.00 999 1022.7  22.8 999.0  14.4 99.0 99.00
2015 01 09 13 00 116  6.5  7.3 99.00 99.00 99.00 999 1023.1  23.1 999.0  13.9 99.0 99.00
2015 01 09 14 00 112  6.0  6.6 99.00 99.00 99.00 999 1023.8  23.5 999.0  14.0 99.0 99.00
2015 01 09 15 00 118  6.9  7.8 99.00 99.00 99.00 999 1023.9  23.6 999.0  15.6 99.0 99.00
2015 01 09 16 00 117  6.5  6.9 99.00 99.00 99.00 999 1023.6  24.1 999.0  15.7 99.0 99.00
2015 01 09 17 00 113  5.9  6.4 99.00 99.00 99.00 999 1022.6  24.2 999.0  16.1 99.0 99.00
2015 01 09 18 00 110  6.3  7.1 99.00 99.00 99.00 999 1021.8  24.3 999.0  17.0 99.0 99.00
2015 01 09 19 00 103  5.5  6.1 99.00 99.00 99.00 999 1021.3  24.5 999.0  16.9 99.0 99.00
2015 01 09 20 00 107  4.4  4.8 99.00 99.00 99.00 999 1021.2  24.7 999.0  17.1 99.0 99.00
2015 01 09 21 00 104  5.0  5.7 99.00 99.00 99.00 999 1021.5  24.3 999.0  16.8 99.0 99.00
2015 01 09 22 00  88  4.5  5.0 99.00 99.00 99.00 999 1021.8  24.1 999.0  16.9 99.0 99.00
2015 01 09 23 00  85  4.2  4.7 99.00 99.00 99.00 999 1022.5  24.0 999.0  16.9 99.0 99.00
2015 01 10 00 00  81  4.5  4.8 99.00 99.00 99.00 999 1022.8  24.0 999.0  16.4 99.0 99.00
2015 01 10 01 00  83  4.2  4.5 99.00 99.00 99.00 999 1023.3  24.1 999.0  16.3 99.0 99.00
2015 01 10 02 00  47  3.6  4.0 99.00 99.00 99.00 999 1023.5  23.6 999.0  17.7 99.0 99.00
