#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2017 01 09 09 50  52 11.1 12.7 99.00 99.00 99.00 999 1028.9  16.3 999.0  12.2 99.0 99.00
2017 01 09 10 50  53 11.5 13.2 99.00 99.00 99.00 999 1029.2  16.5 999.0  12.1 99.0 99.00
2017 01 09 11 50  56 11.9 14.0 99.00 99.00 99.00 999 1029.9  16.7 999.0  11.9 99.0 99.00
2017 01 09 12 50  60 11.9 13.3 99.00 99.00 99.00 999 1030.6  17.0 999.0  11.5 99.0 99.00
2017 01 09 13 50  63 11.4 13.4 99.00 99.00 99.00 999 1031.4  17.6 999.0  11.3 99.0 99.00
2017 01 09 14 50  67 11.7 13.5 99.00 99.00 99.00 999 1031.8  18.2 999.0  11.1 99.0 99.00
2017 01 09 15 50  64 12.1 13.7 99.00 99.00 99.00 999 1031.8  18.3 999.0  11.3 99.0 99.00
2017 01 09 16 50  70 11.9 13.7 99.00 99.00 99.00 999 1031.3  18.6 999.0  11.0 99.0 99.00
2017 01 09 17 50  67 11.3 13.1 99.00 99.00 99.00 999 1030.1  19.2 999.0  11.0 99.0 99.00
2017 01 09 18 49  69 10.9 12.2 99.00 99.00 99.00 999 1029.4  19.5 999.0  10.5 99.0 99.00
2017 01 09 19 50  73 11.9 13.9 99.00 99.00 99.00 999 1028.5  19.9 999.0  11.5 99.0 99.00
2017 01 09 20 50  78 12.5 14.1 99.00 99.00 99.00 999 1028.0  20.2 999.0  10.1 99.0 99.00
2017 01 09 21 50  72 11.8 13.4 99.00 99.00 99.00 999 1028.0  20.0 999.0  11.5 99.0 99.00
2017 01 09 22 50  72 13.3 15.0 99.00 99.00 99.00 999 1028.5  19.9 999.0   9.7 99.0 99.00
2017 01 09 23 50  75 11.9 13.7 99.00 99.00 99.00 999 1029.0  19.7 999.0  11.1 99.0 99.00
2017 01 10 00 50  69 12.1 14.1 99.00 99.00 99.00 999 1029.4  19.6 999.0  10.3 99.0 99.00
2017 01 10 01 50  62 11.4 13.4 99.00 99.00 99.00 999 1029.9  19.5 999.0  11.8 99.0 99.00
2017 01 10 02 50  57 12.5 14.5 99.00 99.00 99.00 999 1030.2  19.3 999.0  11.1 99.0 99.00
2017 01 10 03 50  62 13.0 15.1 99.00 99.00 99.00 999 1030.0  19.4 999.0  10.6 99.0 99.00
2017 01 10 04 50  61 12.6 14.3 99.00 99.00 99.00 999 1029.3  19.2 999.0   9.9 99.0 99.00
2017 01 10 05 50  61 12.1 13.9 99.00 99.00 99.00 999 1028.6  19.5 999.0  10.2 99.0 99.00
2017 01 10 06 50  57 10.6 12.9 99.00 99.00 99.00 999 1028.2  19.2 999.0  11.8 99.0 99.00
2017 01 10 07 50  55 10.2 11.8 99.00 99.00 99.00 999 1027.5  19.1 999.0  11.9 99.0 99.00
2017 01 10 08 50  62 10.7 12.5 99.00 99.00 99.00 999 1026.8  19.0 999.0  12.0 99.0 99.00
2017 01 10 09 50  62 10.7 12.4 99.00 99.00 99.00 999 1026.5  18.9 999.0  13.2 99.0 99.00
