#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 06 21 00 110  3.0  4.0 99.00 99.00 99.00 999 1018.6  24.9  25.6 999.0 99.0 99.00
2007 01 06 22 00 105  4.1  5.1 99.00 99.00 99.00 999 1019.2  25.0  25.5 999.0 99.0 99.00
2007 01 06 23 00  89  3.0  3.6 99.00 99.00 99.00 999 1019.6  25.0  25.5 999.0 99.0 99.00
2007 01 07 00 00  83  5.0  5.3 99.00 99.00 99.00 999 1020.2  25.0  25.5 999.0 99.0 99.00
2007 01 07 01 00  80  6.7  6.9 99.00 99.00 99.00 999 1020.6  25.0  25.6 999.0 99.0 99.00
2007 01 07 02 00  80  6.8  7.0 99.00 99.00 99.00 999 1021.0  24.9  25.6 999.0 99.0 99.00
2007 01 07 03 00  79  7.5  8.5 99.00 99.00 99.00 999 1021.1  25.3  25.6 999.0 99.0 99.00
2007 01 07 04 00  83  8.0  9.1 99.00 99.00 99.00 999 1021.1  25.1  25.5 999.0 99.0 99.00
2007 01 07 05 00  94 10.5 11.3 99.00 99.00 99.00 999 1020.6  25.1  25.5 999.0 99.0 99.00
2007 01 07 06 00 106  8.4  9.1 99.00 99.00 99.00 999 1020.5  25.2  25.3 999.0 99.0 99.00
2007 01 07 07 00 106 10.1 10.9 99.00 99.00 99.00 999 1020.2  25.2  25.3 999.0 99.0 99.00
2007 01 07 08 00 107  9.8 10.6 99.00 99.00 99.00 999 1020.0  24.8  25.4 999.0 99.0 99.00
2007 01 07 09 00 106  9.4 10.0 99.00 99.00 99.00 999 1020.0  25.1  25.5 999.0 99.0 99.00
2007 01 07 10 00 105  8.8  9.3 99.00 99.00 99.00 999 1020.1  25.1  25.4 999.0 99.0 99.00
2007 01 07 11 00 104  7.6  8.2 99.00 99.00 99.00 999 1020.7  25.2  25.4 999.0 99.0 99.00
2007 01 07 12 00 104  8.8  9.5 99.00 99.00 99.00 999 1021.1  25.2  25.4 999.0 99.0 99.00
2007 01 07 13 00 103  9.2  9.7 99.00 99.00 99.00 999 1021.7  25.3  25.4 999.0 99.0 99.00
2007 01 07 14 00 111  9.4  9.9 99.00 99.00 99.00 999 1022.2  25.5  25.5 999.0 99.0 99.00
2007 01 07 15 00 111  8.9  9.7 99.00 99.00 99.00 999 1022.6  25.4  25.5 999.0 99.0 99.00
2007 01 07 16 00 110  8.8  9.3 99.00 99.00 99.00 999 1022.4  25.2  25.4 999.0 99.0 99.00
2007 01 07 17 00 110  8.0  8.8 99.00 99.00 99.00 999 1021.3  25.2  25.5 999.0 99.0 99.00
