#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 06 20 00 184  3.9  4.1 99.00 99.00 99.00 999 1015.3  26.0  25.3 999.0 99.0 99.00
2014 01 06 21 00 263  3.1  3.7 99.00 99.00 99.00 999 1015.9  23.3  25.3 999.0 99.0 99.00
2014 01 06 22 00 230  1.4  1.6 99.00 99.00 99.00 999 1016.1  24.2  25.3 999.0 99.0 99.00
2014 01 06 23 00 229  6.3  6.8 99.00 99.00 99.00 999 1016.8  22.7  25.2 999.0 99.0 99.00
2014 01 07 00 00 228  0.8  1.0 99.00 99.00 99.00 999 1017.3  22.6  25.1 999.0 99.0 99.00
2014 01 07 01 00 337 11.5 12.1 99.00 99.00 99.00 999 1018.6  22.6  24.8 999.0 99.0 99.00
2014 01 07 02 00 321 15.0 15.8 99.00 99.00 99.00 999 1020.0  20.4  24.6 999.0 99.0 99.00
2014 01 07 03 00 334 17.0 18.3 99.00 99.00 99.00 999 1020.8  18.7  25.0 999.0 99.0 99.00
2014 01 07 04 00 334 16.3 17.5 99.00 99.00 99.00 999 1021.1  17.3  24.6 999.0 99.0 99.00
2014 01 07 05 00 343 15.2 17.2 99.00 99.00 99.00 999 1021.2  16.3  24.5 999.0 99.0 99.00
2014 01 07 06 00 339 14.2 15.4 99.00 99.00 99.00 999 1022.0  15.5  24.6 999.0 99.0 99.00
2014 01 07 07 00 348 11.9 13.1 99.00 99.00 99.00 999 1022.2  14.4  24.6 999.0 99.0 99.00
2014 01 07 08 00 352 11.7 12.8 99.00 99.00 99.00 999 1022.3  13.9  24.5 999.0 99.0 99.00
2014 01 07 09 00 349 14.2 15.8 99.00 99.00 99.00 999 1022.2  15.1  24.5 999.0 99.0 99.00
2014 01 07 10 00 333 11.0 12.2 99.00 99.00 99.00 999 1023.0  13.4  24.3 999.0 99.0 99.00
2014 01 07 11 00 335 12.7 14.1 99.00 99.00 99.00 999 1023.5  12.2  24.0 999.0 99.0 99.00
2014 01 07 12 00 346 11.3 13.1 99.00 99.00 99.00 999 1024.1  12.1  23.9 999.0 99.0 99.00
2014 01 07 13 00 347 11.3 12.7 99.00 99.00 99.00 999 1024.8  12.2  23.7 999.0 99.0 99.00
2014 01 07 14 00 344 11.5 12.5 99.00 99.00 99.00 999 1024.8  12.6  23.7 999.0 99.0 99.00
2014 01 07 15 00 343 11.5 12.5 99.00 99.00 99.00 999 1025.1  12.7  23.6 999.0 99.0 99.00
2014 01 07 16 00 349 10.9 12.5 99.00 99.00 99.00 999 1024.4  13.6  24.4 999.0 99.0 99.00
2014 01 07 17 00 349 10.6 11.9 99.00 99.00 99.00 999 1023.6  13.7  24.5 999.0 99.0 99.00
2014 01 07 18 00 338 11.2 12.4 99.00 99.00 99.00 999 1022.7  14.3  24.6 999.0 99.0 99.00
2014 01 07 19 00 344 12.3 14.8 99.00 99.00 99.00 999 1022.6  14.1  24.5 999.0 99.0 99.00
2014 01 07 20 00 354 11.7 13.6 99.00 99.00 99.00 999 1022.7  14.1  24.4 999.0 99.0 99.00
2014 01 07 21 00 344 11.5 12.7 99.00 99.00 99.00 999 1022.8  14.4  24.2 999.0 99.0 99.00
2014 01 07 22 00 342 13.2 13.8 99.00 99.00 99.00 999 1022.8  15.3  24.1 999.0 99.0 99.00
2014 01 07 23 00 343 13.5 14.6 99.00 99.00 99.00 999 1023.1  15.2  23.8 999.0 99.0 99.00
2014 01 08 00 00 349 12.3 13.1 99.00 99.00 99.00 999 1023.9  14.7  23.4 999.0 99.0 99.00
2014 01 08 01 00 346 10.8 11.5 99.00 99.00 99.00 999 1024.5  15.0  23.4 999.0 99.0 99.00
2014 01 08 02 00 340 10.9 12.1 99.00 99.00 99.00 999 1025.0  15.2  22.9 999.0 99.0 99.00
2014 01 08 03 00 353  8.1  9.8 99.00 99.00 99.00 999 1025.0  15.5  22.8 999.0 99.0 99.00
2014 01 08 04 00 337  8.1  9.5 99.00 99.00 99.00 999 1025.0  15.1  23.3 999.0 99.0 99.00
2014 01 08 05 00 336  8.2  9.3 99.00 99.00 99.00 999 1024.6  15.0  24.4 999.0 99.0 99.00
2014 01 08 06 00  43 10.7 11.3 99.00 99.00 99.00 999 1023.7  19.2  24.7 999.0 99.0 99.00
2014 01 08 07 00  44 12.3 13.3 99.00 99.00 99.00 999 1023.1  19.5  24.8 999.0 99.0 99.00
2014 01 08 08 00  36 12.3 13.7 99.00 99.00 99.00 999 1022.8  19.8  24.7 999.0 99.0 99.00
2014 01 08 09 00  40 11.4 13.1 99.00 99.00 99.00 999 1022.7  19.7  24.3 999.0 99.0 99.00
2014 01 08 10 00  44 12.2 14.2 99.00 99.00 99.00 999 1022.3  19.5  24.2 999.0 99.0 99.00
2014 01 08 11 00  51 13.8 14.8 99.00 99.00 99.00 999 1022.3  19.3  24.1 999.0 99.0 99.00
2014 01 08 12 00  56 13.0 14.0 99.00 99.00 99.00 999 1022.6  19.9  23.8 999.0 99.0 99.00
2014 01 08 13 00  47 11.5 13.1 99.00 99.00 99.00 999 1023.9  20.7  23.6 999.0 99.0 99.00
2014 01 08 14 00  54 12.4 13.8 99.00 99.00 99.00 999 1024.6  20.3  24.6 999.0 99.0 99.00
2014 01 08 15 00  44 12.0 13.5 99.00 99.00 99.00 999 1025.2  20.5  24.7 999.0 99.0 99.00
2014 01 08 16 00  39 14.0 15.0 99.00 99.00 99.00 999 1024.9  20.4  25.2 999.0 99.0 99.00
2014 01 08 17 00  42 13.7 15.1 99.00 99.00 99.00 999 1023.8  20.7  24.8 999.0 99.0 99.00
2014 01 08 18 00  47 14.1 15.4 99.00 99.00 99.00 999 1022.5  20.7  25.1 999.0 99.0 99.00
2014 01 08 19 00  41 13.9 14.7 99.00 99.00 99.00 999 1022.0  20.9  25.2 999.0 99.0 99.00
2014 01 08 20 00  44 13.5 15.4 99.00 99.00 99.00 999 1022.0  20.8  25.2 999.0 99.0 99.00
2014 01 08 21 00  48 14.5 15.5 99.00 99.00 99.00 999 1021.8  20.9  25.2 999.0 99.0 99.00
2014 01 08 22 00  52 13.9 14.8 99.00 99.00 99.00 999 1021.5  21.0  25.0 999.0 99.0 99.00
2014 01 08 23 00  50 15.1 17.2 99.00 99.00 99.00 999 1022.0  21.1  24.8 999.0 99.0 99.00
2014 01 09 00 00  54 15.2 16.6 99.00 99.00 99.00 999 1022.1  21.3  24.6 999.0 99.0 99.00
2014 01 09 01 00  63 13.0 14.3 99.00 99.00 99.00 999 1022.9  21.7  24.6 999.0 99.0 99.00
2014 01 09 02 00  53 15.1 15.9 99.00 99.00 99.00 999 1023.1  22.6  24.1 999.0 99.0 99.00
2014 01 09 03 00  63 13.0 14.0 99.00 99.00 99.00 999 1023.1  22.5  23.9 999.0 99.0 99.00
2014 01 09 04 00  70 14.9 15.6 99.00 99.00 99.00 999 1022.6  22.9  24.0 999.0 99.0 99.00
2014 01 09 05 00  71 14.7 16.0 99.00 99.00 99.00 999 1021.7  22.9  24.7 999.0 99.0 99.00
